,Item Name,price
0,Sponge Gourd,47.28340785
1,Baby corn cleaned,139.9369594
2,Baby corn,30.87550747
3,Chilakarive green,31.71791056
4,Chakota greens,47.14348887
5,Eggs,6.597116952
6,Arive greens,45.09668247
7,knol-khol,40.35575928
8,Chikadi kai,60.34559779
9,Garlic cleaned,206.1038868
10,Garlic,130.9977471
11,Ginger,59.77397291
12,Ground nut Local,95.68434554
13,Double Beans,103.5189834
14,Double Beans seeds,197.5719166
15,Drumstik,103.7398903
16,Cauliflower per Kg,54.57002058
17,Cauliflower(M),36.24960885
18,Mushroom Button,282.6020236
19,Grapes Dry 250gm,121.2865471
20,Grapes Red globe,467.8123416
21,Lime Local,116.944274
22,Little gourd,31.87168009
23,Ladys finger,58.34947478
24,Herali kai,82.54027271
25,Grapes T.S.,121.9400755
26,Avarekai (Field Beans ),61.28939976
27,Banana cooking R.Banana,61.36845335
28,Jukani,161.3014285
29,Sham gadde,69.75166935
30,Snake Gourd(S),32.39070624
31,Snake Gourd,40.25297815
32,Raddish Red,58.14219928
33,Raddish,34.17535432
34,Sweet Potato(Genasu),45.32150387
35,Potato(B),30.00923693
36,Potato(M),37.22429347
37,Pumpkin Japan,24.17149936
38,Pumpkin Red,19.18431883
39,Pumpkin Ash,21.42500344
40,Orange malt,68.36747948
41,Grapes Blore blue,55.46727484
42,Guava Allahabad(Red),89.70203529
43,Guava,67.2001645
44,Chicco(Sapota),51.63175334
45,Custerd Apple,50.09800562
46,Chicco(Sapota) rapined,58.12437525
47,Banana Rasabale,59.16447
48,Banana Nendra,72.66218371
49,Banana chandra,74.88186736
50,Banana Yellaki,74.76624993
51,Banana pachabale,31.28962018
52,Apple Green smith,324.0551478
53,Apple Fuji chaina,268.6903237
54,Apple Newzeland,276.5636996
55,Apple Washington,287.2842531
56,Apple Economy,147.5111661
57,Apple Delicious,172.3570916
58,Palak Greens,50.65098039
59,Menthya Greens,78.93090355
60,Mint Leaves,53.89901934
61,G.nut oil Rice Bron 1 lt,128.7227223
62,G.nut oil Premium1 lt,151.7324733
63,Ground nut oil 1 lt,146.699517
64,G.oil Net rich 500 ml,72.28137248
65,Fruit Juice Tailand,19.82528742
66,Tender Coconut(S),23.92844459
67,Pista,165.172276
68,Thinda,68.69534047
69,Tamarind seedless,181.1165573
70,Straw Berry,133.7758462
71,Litchi Local,306.8784542
72,Kiwi fruit,482.5149099
73,Grapes Krishna sharad,137.1576038
74,Grapes Flame,97.5929078
75,Grapes Sonika,127.2650592
76,Grapes Sharad,128.9029366
77,Grapes Dilkush,78.96238393
78,GrapesAnabi shahi,26.23491182
79,Hesaru kalu,130.8305893
80,Molake kalu,106.2355408
81,Greens Sabbakki,71.31611143
82,Parvala,93.27454644
83,Spring Onion(Cleaned),80.45037989
84,Spring Onion,77.72261844
85,Chocolates Drink box,49.56770462
86,Fanda,41.30831176
87,Jam 100 gm,24.78406794
88,Jam 200 gm,41.2973418
89,Jam 1/2 kg,90.8714532
90,Jam 1 kg,123.8044339
91,Coconut oil 500 ml,117.0731025
92,Stevia powder,99.10607003
93,Pepper,115.624553
94,Sungold oil 5 lt packet,660.6746147
95,Sun safal Tin 15 lt,782.7688998
96,Safal deep 500 ml,61.72683794
97,Ground nut oil 5 lt,931.8902646
98,Sungold oil 5 lt,707.9437897
99,Rice Bran 5 lt,662.9071666
100,Tamarind Paste 150 gm,57.29846312
101,Indian red globe,198.0842322
102,Peas seeds,282.9899127
103,Anjura/Fig,107.2343005
104,Butter fruit,128.3518332
105,Bore fruit,33.66268541
106,S.mellon Local (Luck),55.06186781
107,Chilles small cleaned (C.B.P),92.23684795
108,Times Rose berry,202.2002816
109,Chikkadikai cleaned,70.23463357
110,Orange juice,23.11749555
111,Thiland Jelly,33.03033136
112,Thiland Juice,19.81914364
113,Pineapple juice,109.0022691
114,Mosambi,84.90716475
115,S.mellon namdhari,32.04159607
116,Watermellon kiran,27.73998913
117,Watermellon,23.21936225
118,Tamarind sweet 500gm,170.3205211
119,Rose apple,225.1313281
120,Plum Australia,493.416806
121,Pineapple,60.05632027
122,Papaya sola,55.28474809
123,Papaya Red lady,33.50771172
124,Papaya Taiwan,32.06377685
125,Papaya nati,21.19748114
126,Pomegranate A.raktha,141.6754523
127,Pomegranate Bhagav,208.4727267
128,Dhantu greens,51.01696537
129,Curry leave,78.94760682
130,Corriander Leave,58.40197293
131,Kakadi,72.68992476
132,Pickles mixed veg,82.57766169
133,mango Pickles,99.1059637
134,Lime Pickles,107.3155053
135,Pickles,90.83260454
136,Rice Bran 15 lt Tin,1317.930501
137,G. nut sungold 1 lt,138.7973381
138,G. nut Golden oil 1 lt,182.9609937
139,G. nut oil safal deep1 lt,121.0715956
140,Apple juice,108.9760631
141,Litchi Juice,109.0206962
142,Parsley,257.788418
143,Leeks,207.466079
144,Selari,171.8268623
145,Chikkadikai Round,51.4814892
146,Mineral water 1 lt,24.77714654
147,Net rich 5 lt oil,487.2983817
148,Byladha Hannu,44.97785354
149,Maize,25.15417447
150,Y.Bananan T.N.,237.1939474
151,Chain Berry,173.9356367
152,Letteus Greens,178.8585377
153,Basale Greens,51.91506622
154,BaleDindu (Banana stem),32.9266894
155,Batani kalu,326.0505377
156,Sweet corn,51.65277073
157,Orange Australia,185.1214536
158,Orange Nagpura,91.77437545
159,Cluster Bean Local,45.52128798
160,Mangalore cucumber,28.09884316
161,Cucumber Israle,51.55310336
162,Cucumber Nati,50.46643781
163,Cucumber,28.87917292
164,Chow-Chow,38.05888804
165,Bottle Gourd,33.29630514
166,Dry fruit mixed,140.3654183
167,Dry dates,172.1041437
168,Peas Delhi,83.91286454
169,Peas local,207.2988353
170,Onion samber,79.79245752
171,Onion small(Economy),16.15036044
172,Jack fruit,24.62217585
173,Onion Big,41.03352125
174,Onion medium,37.88483158
175,Mushroom Oyster,165.707115
176,Brucoli,272.3192465
177,Avare seed (FB seeds),144.92114
178,Avarebele (F. Beans spok),260.2699335
179,Bale hoovu(B.flower),30.90416724
180,Sweet corn seeds,77.83783385
181,Kashini (Ganike) Greens,12.65675821
182,Gulkan 1/4 kg,49.53835184
183,Gulkan 1/2 kg,66.07813988
184,Gulkan 1 kg,132.0952936
185,Honney 100 gm,47.89972435
186,Honney 200 gm,89.16743972
